,ts_code,stock_name,pe,roe,nprg,mbrg,epsg
0,000001.SZ,平安银行,9.9004,6.2028,1.0686274509803921,-0.49907190590191014,1.2368421052631577
1,000002.SZ,万科A,8.875,7.4763,5.015618260275671,0.040021743657556064,9.3921568627451
2,000004.SZ,国农科技,,-1.7722,-1.6548415435941939,-0.4767287986540432,-1.357927786499215
3,000005.SZ,世纪星源,22.5494,4.0895,-3.0932703500820855,0.7436554617572543,-4.5
4,000006.SZ,深振业A,8.2923,3.298,0.8365747792850339,-0.3225250702763399,0.835566382460414
5,000008.SZ,神州高铁,29.9423,0.9079,-0.9688824537323301,-0.04174360623306068,4.666666666666668
6,000009.SZ,中国宝安,59.6,2.6019,-0.2834750505241466,0.3639384409478362,1.14
7,000011.SZ,深物业A,10.3465,3.1434,0.022490359798627256,-0.39128418095607326,0.32294832826747727
8,000012.SZ,南玻A,29.5061,4.0886,1.8449581252991611,-0.09333296751312484,1.3999999999999997
9,000014.SZ,沙河股份,13.8983,-0.4359,-1.0442804640084824,-0.33975116695523117,-0.43582089552238806
10,000016.SZ,深康佳A,28.6876,4.3167,2.0211451487385634,0.4941649451056447,3.1267605633802815
11,000020.SZ,深华发A,962.4837,0.7933,8.992531308234494,0.03645657485290753,9.111111111111112
12,000021.SZ,深科技,34.4172,2.3775,-0.8014744538962033,-0.21540436622747167,0.44050991501416437
13,000023.SZ,深天地A,75.0704,7.0237,1.0622056931405603,0.32350404190694176,1.0875232774674117
14,000025.SZ,特力A,112.8178,4.1749,-0.8034833879022188,0.05919823518853624,0.7145214521452146
15,000026.SZ,飞亚达,19.2527,4.7015,0.9188504922992499,-0.21056211391834315,0.9004771642808452
16,000027.SZ,深圳能源,34.3827,4.0834,1.8507054847718043,-0.017528790086658377,1.806034482758621
17,000028.SZ,国药一致,18.2567,5.4787,1.2288080415882459,0.21410775234940777,1.1714285714285715
18,000030.SZ,富奥股份,9.5083,6.7225,-0.695592211077981,0.189818810656659,1.08
19,000031.SZ,大悦城,18.1768,15.6424,-0.09935366518791586,2.803894737978819,0.6333333333333334
