,ts_code,stock_name,pe,roe,nprg,mbrg,epsg
0,000001.SZ,平安银行,9.5337,3.0331,-0.6999758239987106,-0.4914703397899445,-1.4691358024691357
1,000002.SZ,万科A,9.3067,0.7153,-0.9349343397629254,-0.06899823034744242,-0.8843537414965987
2,000004.SZ,国农科技,,4.7806,-1.6548415435941939,0.7367988321676662,-1.2463263727764888
3,000005.SZ,世纪星源,21.6247,-1.1991,-3.0932703500820855,-0.30600646370589396,-1.1508078994614004
4,000006.SZ,深振业A,8.4158,1.7732,-0.8746880938942437,-0.36343470344737316,-1.3346922136159802
5,000008.SZ,神州高铁,32.2521,0.1604,-0.9688824537323301,-0.1739624092414225,-0.9098712446351931
6,000009.SZ,中国宝安,57.4082,1.2517,-0.2834750505241466,0.6655565736573671,-2.8987341772151898
7,000011.SZ,深物业A,9.6024,2.322,-0.8757334328240661,-0.32922103774317873,-0.7487110941378652
8,000012.SZ,南玻A,28.5454,1.4411,-0.7121221268428095,-0.060653946770674705,-1.238095238095238
9,000014.SZ,沙河股份,13.3042,-0.7671,-1.0442804640084824,-0.4760001564582051,-1.0491418512542174
10,000016.SZ,深康佳A,24.5894,1.0487,-0.7630136861800315,0.4827461306836428,-1.2054398148148149
11,000020.SZ,深华发A,938.4216,0.0797,-0.48093159031844096,-0.49581404815138685,-1.7499999999999993
12,000021.SZ,深科技,22.5654,1.6359,-0.8014744538962033,-0.022583315931231446,-1.618213660245184
13,000023.SZ,深天地A,67.2681,3.3932,-0.3349844715324546,-0.015948221411102415,-0.2415254237288136
14,000025.SZ,特力A,100.2714,1.701,-0.8034833879022188,-0.10143492228871483,1.2444444444444436
15,000026.SZ,飞亚达,18.7226,2.4743,-0.6499086077200139,-0.23801724491317036,-1.4270742358078603
16,000027.SZ,深圳能源,35.5881,1.4533,-0.4332304423639638,0.026118837155251238,-1.697220135236664
17,000028.SZ,国药一致,14.7914,2.5504,-0.6589455566973222,-0.367791540201596,-1.4620462046204619
18,000030.SZ,富奥股份,9.5904,3.1783,-0.695592211077981,-0.18531119360697387,-1.2646436132674665
19,000031.SZ,大悦城,18.1485,9.7369,-0.09935366518791586,-0.25400104698469095,-2.4285714285714284
20,000032.SZ,深桑达A,38.3421,1.9911,-0.6965129017697237,-0.18348842246357389,-1.4427430093209055
21,000034.SZ,神州数码,16.4664,3.4982,-0.7351796484004056,0.3157047533529168,-1.647952853598015
22,000035.SZ,中国天楹,67.5886,1.4315,-0.41443603542510443,-0.140619090624014,-1.859375
23,000036.SZ,华联控股,7.8284,5.4927,-0.6297555431729217,-0.5756821416649395,-2.066726377071204
24,000037.SZ,深南电A,413.5551,-1.4449,-3.763270604125381,-0.08538416583870008,-0.1379310344827585
25,000038.SZ,深大通,,0.1814,-0.97711023233165,0.2840479617417724,-1.0016177202588352
26,000039.SZ,中集集团,11.3185,1.0623,-0.8742453830753935,2.503013690218982,-2.2406250000000014
27,000040.SZ,东旭蓝天,8.8329,0.1285,-0.9881553088592081,-0.2586773277734903,-1.006194865695312
28,000042.SZ,中洲控股,14.7793,3.1404,-0.5136341889653998,-0.31171442193661253,-1.1790370598501179
29,000045.SZ,深纺织A,,0.4232,14.71229916198509,-0.28052402732968773,-1.2136842105263157
30,000046.SZ,泛海控股,31.1491,9.7487,1.1528246460856828,-0.4896926815850791,-1.557531962201223
31,000048.SZ,京基智农,17.7072,10.3524,-0.7526316674564467,1.5388377543360263,-0.71330437417921
32,000049.SZ,德赛电池,13.3106,3.8064,-0.7464516541271902,0.3802689968252309,-1.8220675944333995
33,000050.SZ,深天马A,29.7412,1.1073,-0.7057775889829773,1.0654837343555221,-1.1733104378756285
34,000055.SZ,方大集团,2.5607,1.3779,-0.9688364183227922,-0.43905389450019494,-0.9557391560932428
35,000056.SZ,皇庭国际,56.3997,0.878,-0.4954861180534577,0.013615500710387977,-1.2105263157894737
36,000058.SZ,深赛格,248.4379,3.1731,-0.6471581590448091,-0.4247741074688653,-1.2220191868433075
37,000059.SZ,华锦股份,9.6994,2.5835,-0.6765882317743579,-0.34473037525711175,-1.3203623941779297
38,000060.SZ,中金岭南,18.1988,2.5027,-0.7090731546931676,-0.20603961405167756,-1.2692307692307692
39,000061.SZ,农产品,215.0612,1.028,-0.3530778381550144,-0.3000049222631336,3.9999999999999982
40,000062.SZ,深圳华强,20.2753,2.4931,-0.8219690136452851,0.4220156618988696,-1.3592617007251153
41,000065.SZ,北方国际,11.402,0.9069,-0.9360937260379715,0.026676849355783967,-1.131578947368421
42,000066.SZ,中国长城,30.5782,0.8274,-0.7563318331346418,-0.012210361834238707,-0.8604651162790697
43,000068.SZ,华控赛格,,-5.6254,-0.7858502780543112,-0.020077314770218107,-0.2791878172588833
44,000069.SZ,华侨城A,5.3847,1.9895,-0.8893831609519509,-0.1519769465329787,-0.49288441513363396
45,000070.SZ,特发信息,33.382,1.5641,-0.8715510443855766,0.025888577428678075,-1.9881355932203388
46,000078.SZ,海王生物,23.183,2.131,-0.6719787210256601,0.1547834571764657,-1.2611464968152866
47,000088.SZ,盐田港,22.3418,0.8083,-0.9027403628194925,-0.11967994714687163,-1.7194244604316549
48,000089.SZ,深圳机场,27.2921,1.4753,-0.7424325707488566,-0.34969403614757494,-1.3970796043334903
49,000090.SZ,天健集团,11.8102,0.7272,-0.918028410363115,0.06611251797841954,-0.811063829787234
50,000096.SZ,广聚能源,46.9527,0.4159,-0.9001284462997534,0.026240379693027727,-1.1215127092374457
51,000099.SZ,中信海直,28.6804,0.7005,-0.8639539872015845,-0.1634170592297993,2.534653465346532
52,000100.SZ,TCL科技,13.0097,2.5303,-0.7525145072884519,-0.10706018586155819,-1.5844287158746206
53,000150.SZ,宜华健康,27.2093,2.1748,-0.7288042892597337,-0.2179317875345666,-1.127891156462585
54,000151.SZ,中成股份,41.8667,0.0575,-0.9930992112520409,-0.4322553476316752,-1.010857142857143
55,000153.SZ,丰原药业,32.0203,1.2774,-0.7075644115898218,-0.11733098492569348,-1.3729767769176635
56,000155.SZ,川能动力,17.9348,4.6649,3.457900909557702,-0.34368374009296027,-0.25000000000000006
57,000156.SZ,华数传媒,24.4978,2.1152,-0.5270874305741431,-0.27634390215612836,-1.7364771151178917
58,000157.SZ,中联重科,23.2841,2.5903,-0.4984070058243682,0.23304575877995287,-2.857142857142857
59,000158.SZ,常山北明,48.1715,-0.2423,-1.4265534334691,-0.0003789931512351046,-1.1098765432098767
60,000159.SZ,国际实业,60.8076,1.0988,-0.04965627918988441,0.2919055378976706,-0.7261640798226164
61,000166.SZ,申万宏源,30.1549,2.6446,-0.5576689379515646,12.999989698619173,-1.8
62,000301.SZ,东方盛虹,26.1233,2.4191,-0.6275235575770474,11.469913869075423,-2.7021276595744688
63,000333.SZ,美的集团,17.7705,7.0986,-0.6978698195171188,0.08092779808370083,-1.3900414937759336
