,ts_code,stock_name,pe,roe,nprg,mbrg,epsg
0,000001.SZ,平安银行,8.579,3.0331,-0.6999758239987106,-0.5513424608436356,-1.4691358024691357
1,000002.SZ,万科A,9.0892,0.7153,-0.9349343397629254,-0.06899823034744242,-0.8843537414965987
2,000004.SZ,国农科技,,4.7806,-1.6548415435941939,0.7367988321676664,-1.2463263727764888
3,000005.SZ,世纪星源,21.8381,-1.1991,-3.0932703500820855,-0.3060064637058939,-1.1508078994614004
4,000006.SZ,深振业A,8.6629,1.7732,-0.8746880938942437,-0.36343470344737305,-1.3346922136159802
5,000008.SZ,神州高铁,32.3377,0.1604,-0.9688824537323301,-0.1739624092414225,-0.9098712446351931
6,000009.SZ,中国宝安,59.6201,1.2517,-0.2834750505241466,0.6655565736573671,-2.8987341772151898
7,000011.SZ,深物业A,9.7734,2.322,-0.8757334328240661,-0.32922103774317873,-0.7487110941378652
8,000012.SZ,南玻A,29.2038,1.4411,-0.7121221268428095,-0.060653946770674705,-1.238095238095238
9,000014.SZ,沙河股份,13.6634,-0.7671,-1.0442804640084824,-0.4760001564582051,-1.0491418512542174
10,000016.SZ,深康佳A,25.5847,1.0487,-0.7630136861800315,0.48274613068364286,-1.2054398148148149
11,000020.SZ,深华发A,985.6865,0.0797,-0.48093159031844096,-0.49581404815138685,-1.7499999999999993
12,000021.SZ,深科技,24.8137,1.6359,-0.8014744538962033,-0.02258331593123186,-1.618213660245184
13,000023.SZ,深天地A,70.7475,3.3932,-0.3349844715324546,-0.015948221411102605,-0.2415254237288136
14,000025.SZ,特力A,103.7427,1.701,-0.8034833879022188,-0.10143492228871483,1.2444444444444436
15,000026.SZ,飞亚达,19.1081,2.4743,-0.6499086077200139,-0.2380172449131706,-1.4270742358078603
16,000027.SZ,深圳能源,34.6123,1.4533,-0.4332304423639638,0.026118837155251234,-1.697220135236664
17,000028.SZ,国药一致,15.2758,2.5504,-0.6589455566973222,-0.36779154020159593,-1.4620462046204619
18,000030.SZ,富奥股份,10.227,3.1783,-0.695592211077981,-0.18531119360697396,-1.2646436132674665
19,000031.SZ,大悦城,17.9224,9.7369,-0.09935366518791586,-0.25400104698469095,-2.4285714285714284
20,000032.SZ,深桑达A,34.2106,1.9911,-0.6965129017697237,-0.1834884224635741,-1.4427430093209055
21,000034.SZ,神州数码,16.2749,3.4982,-0.7351796484004056,0.3157047533529166,-1.647952853598015
22,000035.SZ,中国天楹,48.6638,1.4315,-0.41443603542510443,-0.140619090624014,-1.859375
23,000036.SZ,华联控股,8.5908,5.4927,-0.6297555431729217,-0.5756821416649395,-2.066726377071204
24,000037.SZ,深南电A,311.8099,-1.4449,-3.763270604125381,-0.08538416583870008,-0.1379310344827585
25,000038.SZ,深大通,,0.1814,-0.97711023233165,0.28404796174177255,-1.0016177202588352
26,000039.SZ,中集集团,11.1971,1.0623,-0.8742453830753935,5.578504839883527,-2.2406250000000014
27,000040.SZ,东旭蓝天,9.0591,0.1285,-0.9881553088592081,-0.25867732777349045,-1.006194865695312
28,000042.SZ,中洲控股,15.2407,3.1404,-0.5136341889653998,-0.31171442193661253,-1.1790370598501179
29,000045.SZ,深纺织A,,0.4232,14.71229916198509,-0.28052402732968773,-1.2136842105263157
30,000046.SZ,泛海控股,36.5639,9.7487,1.1528246460856828,-0.4896926815850791,-1.557531962201223
31,000048.SZ,京基智农,17.4302,10.3524,-0.7526316674564467,1.544358197493106,-0.71330437417921
32,000049.SZ,德赛电池,13.3158,3.8064,-0.7464516541271902,0.3802689968252307,-1.8220675944333995
33,000050.SZ,深天马A,30.4272,1.1073,-0.7057775889829773,1.0654837343555221,-1.1733104378756285
34,000055.SZ,方大集团,2.7907,1.3779,-0.9688364183227922,-0.43905389450019494,-0.9557391560932428
35,000056.SZ,皇庭国际,60.6782,0.878,-0.4954861180534577,0.01361550071038815,-1.2105263157894737
36,000058.SZ,深赛格,284.3726,3.1731,-0.6471581590448091,-0.4247741074688653,-1.2220191868433075
37,000059.SZ,华锦股份,10.048,2.5835,-0.6765882317743579,-0.34473037525711175,-1.3203623941779297
38,000060.SZ,中金岭南,18.5093,2.5027,-0.7090731546931676,-0.20603961405167784,-1.2692307692307692
39,000061.SZ,农产品,220.2195,1.028,-0.3530778381550144,-0.3000049222631337,3.9999999999999982
40,000065.SZ,北方国际,11.9114,0.9069,-0.9360937260379715,0.026676849355783964,-1.131578947368421
41,000066.SZ,中国长城,30.1915,0.8274,-0.7563318331346418,-0.012210361834238835,-0.8604651162790697
42,000068.SZ,华控赛格,,-5.6254,-0.7858502780543112,-0.020077314770217913,-0.2791878172588833
43,000069.SZ,华侨城A,5.377,1.9895,-0.8893831609519509,-0.15197694653297836,-0.49288441513363396
44,000070.SZ,特发信息,34.5284,1.5641,-0.8715510443855766,0.025888577428678075,-1.9881355932203388
45,000078.SZ,海王生物,26.6471,2.131,-0.6719787210256601,0.1547834571764657,-1.2611464968152866
46,000088.SZ,盐田港,22.26,0.8083,-0.9027403628194925,-0.11967994714687163,-1.7194244604316549
47,000089.SZ,深圳机场,26.1869,1.4753,-0.7424325707488566,-0.349694036147575,-1.3970796043334903
48,000090.SZ,天健集团,12.0456,0.7272,-0.918028410363115,0.0661125179784194,-0.811063829787234
49,000096.SZ,广聚能源,48.178,0.4159,-0.9001284462997534,0.026240379693027727,-1.1215127092374457
50,000099.SZ,中信海直,28.8013,0.7005,-0.8639539872015845,-0.16341705922979946,2.534653465346532
