,ts_code,stock_name,pe,roe,nprg,mbrg,epsg
0,000001.SZ,平安银行,11.9585,6.2028,1.0686274509803921,-0.49907190590191014,1.2368421052631577
1,000002.SZ,万科A,8.7746,7.4763,5.015618260275671,0.040021743657556064,9.3921568627451
2,000004.SZ,国农科技,,-1.7722,-1.9539475955913983,-0.4767287986540432,-1.357927786499215
3,000005.SZ,世纪星源,22.0515,4.0895,-4.5657419304430285,0.7436554617572543,-4.5
4,000006.SZ,深振业A,7.8754,3.298,0.8365747792850339,-0.3225250702763399,0.835566382460414
5,000008.SZ,神州高铁,29.6856,0.9079,5.59922802437143,-0.04174360623306068,4.666666666666668
6,000009.SZ,中国宝安,53.5676,2.6019,1.0482240861881653,0.3639384409478362,1.14
7,000011.SZ,深物业A,9.7834,3.1434,0.022490359798627256,-0.39128418095607326,0.32294832826747727
8,000012.SZ,南玻A,29.0257,4.0886,1.8449581252991611,-0.09333296751312484,1.3999999999999997
9,000014.SZ,沙河股份,13.3318,-0.4359,-0.4176653476699456,-0.33975116695523117,-0.43582089552238806
10,000016.SZ,深康佳A,24.3552,4.3167,2.0211451487385634,0.4941649451056447,3.1267605633802815
11,000020.SZ,深华发A,937.5623,0.7933,8.992531308234494,0.03645657485290753,9.111111111111112
12,000021.SZ,深科技,30.0873,2.3775,0.6307808959422664,-0.21540436622747167,0.44050991501416437
13,000023.SZ,深天地A,67.9007,7.0237,1.0622056931405603,0.32350404190694176,1.0875232774674117
14,000025.SZ,特力A,101.66,4.1749,1.6572936500860338,0.05919823518853624,0.7145214521452146
15,000026.SZ,飞亚达,18.0961,4.7015,0.9188504922992499,-0.21056211391834315,0.9004771642808452
16,000027.SZ,深圳能源,33.8087,4.0834,1.8507054847718043,-0.017528790086658377,1.806034482758621
17,000028.SZ,国药一致,15.4349,5.4787,1.2288080415882459,0.21410775234940777,1.1714285714285715
18,000030.SZ,富奥股份,9.7136,6.7225,1.0880409740461257,0.189818810656659,1.08
19,000031.SZ,大悦城,18.9683,15.6424,0.6551784944013395,2.803894737978819,0.6333333333333334
20,000032.SZ,深桑达A,43.8251,3.8003,0.9017263439651542,-0.19792535802780323,0.9097744360902255
21,000034.SZ,神州数码,20.1681,10.0462,1.9032198994844447,0.2810708887708038,1.9167065581617997
22,000035.SZ,中国天楹,66.6874,3.2594,1.6177672552812985,8.31800470291818,1.4363636363636363
23,000036.SZ,华联控股,6.3424,9.7604,0.707093727581185,0.1782569628545418,0.29722921914357686
24,000037.SZ,深南电A,427.0168,-1.2865,-0.03897124344245356,-0.7164848483927841,-0.20000000000000004
25,000038.SZ,深大通,,0.4133,1.055394696502752,-0.2929837015963934,1.2967032967032963
26,000039.SZ,中集集团,10.3017,1.8053,1.1543429099715221,0.9512429549017279,0.3585222502099077
27,000040.SZ,东旭蓝天,6.8907,0.6398,4.514532582488176,0.49437847484664305,3.96
28,000042.SZ,中洲控股,13.4398,2.7515,-0.38820906017233137,-0.6993580312194692,-0.12844036697247707
29,000045.SZ,深纺织A,,0.3162,-1.5983137150259277,0.9565529460143343,-0.2463054187192118
30,000046.SZ,泛海控股,24.2271,8.3011,-0.148493055837388,0.0160021977125783,-0.16650049850448662
31,000048.SZ,京基智农,22.1921,13.6825,0.4273110848676405,-0.33980103831283187,0.3498942917547569
32,000049.SZ,德赛电池,20.3755,9.4364,1.5327743858564487,0.16016996261199584,1.5084643288996373
33,000050.SZ,深天马A,30.7592,2.4507,1.223260430909561,0.04595402152137641,1.2236376503892425
34,000055.SZ,方大集团,2.3056,2.5165,0.8366698981348609,-0.015308914879349147,0.8333333333333334
35,000056.SZ,皇庭国际,60.03,1.6702,0.9485916870992307,-0.20360611997928957,1.0
36,000058.SZ,深赛格,369.5513,4.3718,0.4704170552679229,-0.1393350883178134,0.38683127572016474
37,000059.SZ,华锦股份,8.6991,4.0609,0.5861461271146915,-0.1537073630986328,0.5600370885489107
38,000060.SZ,中金岭南,15.6766,4.5166,,-0.029991276689525205,0.857142857142857
39,000061.SZ,农产品,206.3318,1.8521,1.154498608750194,0.22204070821879113,0.8
40,000062.SZ,深圳华强,22.167,7.1785,1.793990870655544,0.20804627281098007,1.0018348623853208
41,000065.SZ,北方国际,11.0755,8.342,8.46839486011219,-0.06833134654003369,8.399999999999999
42,000066.SZ,中国长城,39.1571,2.2696,1.6804611230314503,0.051181471526146397,1.7222222222222225
43,000068.SZ,华控赛格,,-9.2583,0.5838233248344031,-0.31883904550324826,0.6197183098591548
44,000069.SZ,华侨城A,5.5541,4.7226,1.3339609554921985,-0.09779824590465049,1.3442847364818618
45,000070.SZ,特发信息,35.4814,2.742,0.7971673418405778,-0.15294494730639985,0.5128644939965695
46,000078.SZ,海王生物,22.1171,3.3407,0.8594684475254868,0.18842143886699106,0.5203252032520326
47,000088.SZ,盐田港,23.6512,2.1654,1.908460640865318,0.1491535065506379,1.52
48,000089.SZ,深圳机场,33.9847,2.6103,0.783611040947278,0.0780017281282873,0.7805456702253857
49,000090.SZ,天健集团,12.4079,2.7835,2.6613120464183915,-0.1637152103963366,1.898648648648649
50,000096.SZ,广聚能源,48.8641,1.4259,2.3799976951047555,-0.02925093787205631,2.571428571428572
51,000099.SZ,中信海直,29.486,2.9153,3.228919069614843,0.194097263044466,3.1960784313725483
52,000100.SZ,TCL科技,14.1036,6.8902,1.7205289039702536,-0.267153382014156,1.7145328719723187
53,000150.SZ,宜华健康,25.9725,0.2688,-0.7052012135990312,-0.18674308381606267,-0.9125295508274232
54,000151.SZ,中成股份,34.6996,-1.4552,-25.40839956176411,-0.47670822221822895,-26.0
55,000153.SZ,丰原药业,31.0981,4.362,2.4224165996943627,0.06287155846891275,2.418867924528302
56,000155.SZ,川能动力,16.5,6.7665,0.4741174436875751,-0.6215967839290409,0.5
57,000156.SZ,华数传媒,21.0712,3.7738,0.7726979628414407,-0.04317571093717683,0.7721280602636534
58,000157.SZ,中联重科,22.156,6.8508,1.6192163829079949,0.5123421424600572,1.5384615384615385
59,000158.SZ,常山北明,48.0826,0.4982,-2.739143914586964,0.1615323240307375,-3.0674157303370784
60,000159.SZ,国际实业,52.5448,0.5339,-0.5860038609008882,-0.4993878677708417,-0.5161943319838056
61,000166.SZ,申万宏源,28.8909,4.2712,,0.7259792505000221,0.7500000000000001
62,000301.SZ,东方盛虹,24.7434,6.119,1.521829479480115,18.11558258867225,1.5
63,000333.SZ,美的集团,17.4924,17.2913,,-0.19966457955713776,1.4680851063829787
64,000338.SZ,潍柴动力,10.3005,12.9396,1.0437809310697908,0.10031364638885491,1.0303030303030303
65,000400.SZ,许继电气,43.4822,2.2202,5.953402873410496,-0.11004843677653163,5.884
66,000401.SZ,冀东水泥,13.9728,10.0433,22.558667358653633,0.5528304360045859,29.978787878787877
67,000402.SZ,金融街,6.9955,3.2853,1.0223546640128856,-0.04457453866374551,0.7499999999999998
68,000403.SZ,双林生物,111.7127,11.4652,2.250542329542835,-0.05903141021038919,2.187010078387458
69,000404.SZ,长虹华意,37.1405,1.4867,1.9881494855144548,-0.030013421642966366,2.6595744680851063
70,000407.SZ,胜利股份,29.356,3.6694,1.3795897835209692,0.13662145674047954,1.5
71,000411.SZ,英特集团,33.6866,10.077,2.055140266763268,0.16931094900661528,2.197278911564626
72,000413.SZ,东旭光电,14.4077,2.577,0.9549760928722877,-0.23745795043469645,0.8749999999999999
73,000415.SZ,渤海租赁,9.8222,4.9366,0.5577333931617116,-0.04751537533017233,0.424878048780488
74,000416.SZ,民生控股,147.7168,2.1831,1.5751438278657837,0.0762268634967159,1.5571428571428572
75,000417.SZ,合肥百货,15.3895,3.5224,0.18161254485505293,-0.1969427793008239,0.13849154746423936
76,000419.SZ,通程控股,16.3732,2.58,0.7959155443025379,-0.30909954632587877,0.7333333333333332
77,000420.SZ,吉林化纤,33.6354,2.3947,2.5595228992185493,-0.18801732965228274,2.739583333333334
78,000421.SZ,南京公用,17.1949,2.2317,4.129589766052801,-0.14377413928999055,6.16546762589928
