,ts_code,stock_name,pe,roe,nprg,mbrg,epsg
0,000001.SZ,平安银行,8.8696,10.7415,0.21323816973015253,-0.5513424608436356,-1.710526315789474
1,000002.SZ,万科A,10.0413,23.4175,1.2604253007137993,-0.06899823034744242,-0.30386740331491696
2,000005.SZ,世纪星源,260.6853,10.5847,-0.03602610010586654,-0.3060064637058939,16.967741935483875
3,000006.SZ,深振业A,11.3109,14.8612,0.21334509044593458,-0.36343470344737305,-1.6579935622317599
4,000008.SZ,神州高铁,14.7031,4.5088,1.0484538226622075,-0.1739624092414225,0.06150341685649209
5,000009.SZ,中国宝安,108.2709,4.1632,0.15720584437852242,0.6655565736573671,-1.3442265795206971
6,000011.SZ,深物业A,11.1645,18.9379,0.7377883449868277,-0.32922103774317873,1.1649441918147998
7,000012.SZ,南玻A,19.2183,5.1586,0.3531661951296784,-0.060653946770674705,-2.235294117647059
8,000014.SZ,沙河股份,325.9393,17.9626,0.21003622156493373,-0.4760001564582051,59.86607142857144
9,000016.SZ,深康佳A,2.6617,5.1095,0.41714188630464816,0.48274613068364286,-1.9680672268907562
10,000020.SZ,深华发A,3632.4725,1.0223,-0.8218864002781678,-0.49581404815138685,-1.6666666666666672
11,000021.SZ,深科技,25.4948,8.7308,1.5543044636573033,-0.02258331593123186,-1.3811748998664886
12,000023.SZ,深天地A,71.378,6.2381,-3.261291408727385,-0.015948221411102605,0.838961038961039
13,000025.SZ,特力A,144.6776,8.6343,0.33787976838075784,-0.10143492228871483,-0.7761194029850746
14,000026.SZ,飞亚达,21.5659,7.2978,0.13017249831636693,-0.2380172449131706,-1.9266253034799028
15,000027.SZ,深圳能源,34.3364,3.0416,0.16206192168208913,0.026118837155251234,-1.8739330269205516
16,000028.SZ,国药一致,20.8399,11.5226,0.46602382021838845,-0.36779154020159593,-1.699769053117783
17,000030.SZ,富奥股份,11.2786,14.5354,0.3577371146270531,-0.18531119360697396,-2.1643385373870174
18,000031.SZ,大悦城,27.2431,19.1671,0.540894260482612,-0.25400104698469095,-1.4200000000000002
19,000032.SZ,深桑达A,158.7303,7.5403,0.39010755039204775,-0.1834884224635741,-1.743196437407224
20,000034.SZ,神州数码,20.1298,14.2504,0.48576875219388543,0.3157047533529166,-1.6123456790123456
21,000035.SZ,中国天楹,57.1641,6.9173,0.8834844969803358,-0.140619090624014,-1.3633414436334146
22,000036.SZ,华联控股,6.3061,21.005,0.9872619740123213,-0.5756821416649395,-1.3451313755795982
23,000037.SZ,深南电A,429.5213,0.9782,-0.6276364405495778,-0.08538416583870008,-1.9666666666666668
24,000038.SZ,深大通,19.1771,-63.541,0.8476291443119132,0.28404796174177255,-14.361520190023754
25,000039.SZ,中集集团,13.175,9.688,0.42603998494202894,5.578504839883527,-1.1264822134387351
26,000040.SZ,东旭蓝天,24.7585,8.6024,0.07180626933711912,-0.25867732777349045,-2.9217142857142857
27,000042.SZ,中洲控股,13.6669,6.5279,0.05954884211353352,-0.31171442193661253,-2.7096972356296622
28,000045.SZ,深纺织A,75.3696,-0.9634,-0.8663516385612263,-0.28052402732968773,-4.958333333333333
29,000046.SZ,泛海控股,13.1733,4.6325,0.371821120572657,-0.4896926815850791,-3.057763797540749
30,000048.SZ,京基智农,28.7186,54.9298,-3.8866488149089364,1.544358197493106,3.3321663019693646
31,000049.SZ,德赛电池,23.8683,25.4401,1.113652442593654,0.3802689968252307,-1.3008373205741626
32,000050.SZ,深天马A,34.2555,4.5729,-0.2283763372709327,1.0654837343555221,-2.3067799326815197
33,000055.SZ,方大集团,3.4259,53.2637,5.987166812528983,-0.43905389450019494,3.8414285714285707
34,000056.SZ,皇庭国际,38.534,1.7006,0.4981715293699371,0.01361550071038815,-2.4615384615384617
35,000058.SZ,深赛格,40.4094,1.4717,0.526147921617099,-0.4247741074688653,-2.9597135183527308
36,000059.SZ,华锦股份,6.0848,8.3314,0.4005770262080006,-0.34473037525711175,-2.016762307459982
37,000060.SZ,中金岭南,16.8951,9.0512,0.2750396607857469,-0.20603961405167784,-2.1818181818181817
38,000061.SZ,农产品,731.6986,0.8784,8.630863139711169,-0.3000049222631337,-0.7841726618705035
39,000062.SZ,深圳华强,23.3891,15.4378,0.33943940529942834,0.4220156618988698,-1.6325225851285616
40,000065.SZ,北方国际,17.2473,15.0503,0.313823166708073,0.026676849355783964,-1.6666666666666665
41,000066.SZ,中国长城,53.413,15.2863,-0.13810015065954798,-0.012210361834238835,0.8169014084507047
42,000068.SZ,华控赛格,183.7143,-22.5292,0.6188556293801287,-0.020077314770217913,-0.18087318087318063
43,000069.SZ,华侨城A,7.3088,19.0496,1.3401856660532065,-0.15197694653297836,-0.535697018533441
44,000070.SZ,特发信息,34.3212,12.8256,0.6512201854319559,0.025888577428678075,-1.2251908396946565
45,000078.SZ,海王生物,19.1443,7.2366,0.3684391253723299,0.1547834571764657,-2.1544117647058822
46,000088.SZ,盐田港,32.3736,6.9154,0.7315958570521301,-0.11967994714687163,-1.2716612377850163
47,000089.SZ,深圳机场,31.1013,5.8579,0.5578624350167648,-0.349694036147575,-1.7557849768600926
48,000090.SZ,天健集团,16.5327,10.2591,-0.15031255258010628,0.0661125179784194,0.9357495881383849
49,000096.SZ,广聚能源,38.4239,4.4372,0.20284427046587916,0.026240379693027727,-1.8862637362637362
50,000099.SZ,中信海直,31.3793,4.9946,0.6438025282390323,-0.16341705922979946,-0.9304407713498623
51,000100.SZ,TCL科技,15.8617,11.5144,0.41351282246575993,-0.10706018586155819,-1.5369163952225842
52,000150.SZ,宜华健康,44.4138,7.5653,0.23872149877738294,-0.2179317875345666,-3.016153611703749
53,000151.SZ,中成股份,45.4668,8.3804,0.15815724765750033,-0.43225534763167534,-1.7847533632286996
54,000153.SZ,丰原药业,32.6719,4.8564,0.4814175385262897,-0.11733098492569348,-1.7983146067415732
55,000155.SZ,川能动力,18.7238,9.5881,-0.5414525524861648,-0.34368374009296015,-17.0
56,000156.SZ,华数传媒,27.2466,6.1192,0.5230748781009629,-0.2763439021561285,-1.6422209026128265
57,000157.SZ,中联重科,26.2645,5.3309,0.5081292463696911,0.23304575877995287,-1.4117647058823528
58,000158.SZ,常山北明,31.8384,3.0758,0.3117164211731318,-0.0003789931512352176,2.3749999999999996
59,000159.SZ,国际实业,,2.831,-1.5554585137341161,0.2919055378976708,2.232974910394265
60,000166.SZ,申万宏源,29.9021,6.6779,0.25845109962272234,3.5392397610276625,-1.6666666666666667
61,000301.SZ,东方盛虹,105.8108,10.2395,8.321344228409284,11.469913869075421,-1.2136363636363636
62,000333.SZ,美的集团,18.5768,25.803,0.3853903545442347,0.08092779808370083,-1.8860294117647056
63,000338.SZ,潍柴动力,10.8595,23.2251,0.44465947458881533,0.0507123498805744,-1.6133333333333333
64,000400.SZ,许继电气,53.5322,2.6047,0.37938574344624304,-0.4034829785116513,-1.743024010382868
65,000401.SZ,冀东水泥,15.9806,12.0306,0.13377185397885177,0.22872207338605827,-0.9722857142857144
66,000402.SZ,金融街,7.8459,10.6264,2.3020587721759176,-0.13426608220498634,-0.23799999999999957
67,000403.SZ,双林生物,360.9648,13.409,0.20006939765108095,-0.24610889504484496,-2.1739572736520856
68,000404.SZ,长虹华意,46.2086,2.2734,0.13462873277781168,0.09537291201684883,-2.017758046614872
69,000407.SZ,胜利股份,66.6747,4.6121,0.25645970049845773,-0.07749112939413579,-2.0000000000000004
70,000411.SZ,英特集团,33.5685,10.5826,0.5120210242872707,-0.18635924585856936,-1.726441241685144
71,000413.SZ,东旭光电,19.8494,6.8205,0.516176328874543,0.5912936810241664,-1.3043478260869568
72,000415.SZ,渤海租赁,10.9332,6.7661,0.8351274084885466,-0.26069601105274304,-1.8161503301168105
73,000416.SZ,民生控股,139.466,2.2868,0.2678962077406537,0.1279554917896181,-1.2432432432432432
74,000417.SZ,合肥百货,19.4287,6.041,0.09229116586390157,-0.22786925541444622,-2.3068181818181817
75,000419.SZ,通程控股,22.0524,5.9256,0.39704318215014944,-0.2693136213636506,-1.834237789837198
76,000420.SZ,吉林化纤,44.0535,4.6411,0.05536848457621867,-0.019168971500846472,-1.6630769230769231
77,000421.SZ,南京公用,21.4736,5.6942,0.4153727035648049,-0.5709456129089754,-2.0192400192400193
78,000423.SZ,东阿阿胶,14.885,19.7184,0.7025562955902895,-0.2526906406120336,-1.4994394319577171
79,000425.SZ,徐工机械,33.7718,7.5556,0.36468310852520636,0.21023011553099075,-1.7743589743589745
80,000426.SZ,兴业矿业,20.7029,-3.2485,0.5427970102967189,0.1553674678780587,-3.1587092525518603
81,000429.SZ,粤高速A,11.3203,18.0231,0.3520544782159228,-0.3748197423529884,-1.5344827586206895
82,000430.SZ,张家界,103.6424,1.6858,-0.5402602870403697,-0.48869911515768594,-1.5092387287509237
83,000488.SZ,晨鸣纸业,5.2092,9.502,0.4111838267221998,-0.41147753386474983,-2.2962962962962963
84,000498.SZ,山东路桥,10.2626,14.7224,0.9029143133157809,-0.2757514888637044,-0.5867346938775508
85,000501.SZ,鄂武商A,7.44,13.6118,0.35771878175243554,-0.26723881689685064,-1.7692307692307694
86,000502.SZ,绿景控股,22.1951,46.1647,0.8479855502375104,-0.4124747267282949,0.6536091549295773
87,000505.SZ,京粮控股,33.7066,7.6801,0.7415747633769763,-0.034106304759429384,-1.3333333333333335
88,000507.SZ,珠海港,44.4162,6.0106,0.2084135190806423,0.0671886681454814,-1.813120176405733
89,000510.SZ,新金路,47.7252,11.2187,0.158344799550514,-0.10190401147244714,-1.95021645021645
90,000513.SZ,丽珠集团,23.2491,10.1021,0.14902589673718428,-0.09256194173947327,-2.0
91,000514.SZ,渝开发,165.5325,0.8399,0.6148043097539515,-0.6687497534308701,-1.6402877697841727
92,000516.SZ,国际医学,60.704,46.7396,0.009881901766108994,-0.6860106899112077,-2.0398230088495573
93,000517.SZ,荣安地产,18.7478,13.5715,1.2966516812221365,-0.5420753909821686,-0.8334636434714623
94,000519.SZ,中兵红箭,97.251,4.5111,0.6820943239358576,-0.545089087158526,-1.5930294906166222
95,000520.SZ,长航凤凰,78.6647,17.6149,0.16768191049495343,-0.21220539371682,-2.074450084602369
