,ts_code,stock_name,pe,roe,nprg,mbrg,epsg
0,000001.SZ,平安银行,9.7551,3.0331,-0.6999758239987106,-0.5513424608436356,-1.4691358024691357
1,000002.SZ,万科A,9.8221,0.7153,1.2604253007137993,-0.06899823034744242,-0.8843537414965987
2,000004.SZ,国农科技,,4.7806,-1.6548415435941939,0.7367988321676664,-1.2463263727764888
3,000005.SZ,世纪星源,23.3319,-1.1991,-3.0932703500820855,-0.3060064637058939,-1.1508078994614004
4,000006.SZ,深振业A,9.4041,1.7732,0.6927558269306787,-0.36343470344737305,-1.3346922136159802
5,000008.SZ,神州高铁,36.0163,0.1604,-0.9688824537323301,-0.1739624092414225,-0.9098712446351931
6,000009.SZ,中国宝安,93.5874,1.2517,0.15720584437852242,0.6655565736573671,-2.8987341772151898
7,000011.SZ,深物业A,10.6884,2.322,3.110320624076348,-0.32922103774317873,-0.7487110941378652
8,000012.SZ,南玻A,30.0256,1.4411,-0.7121221268428095,-0.060653946770674705,-1.238095238095238
9,000014.SZ,沙河股份,14.3404,-0.7671,-1.0442804640084824,-0.4760001564582051,-1.0491418512542174
10,000016.SZ,深康佳A,27.5753,1.0487,0.15431992182931326,0.48274613068364286,-1.2054398148148149
11,000020.SZ,深华发A,3272.1313,0.0797,-0.8218864002781678,-0.49581404815138685,-1.7499999999999993
12,000021.SZ,深科技,22.2324,1.6359,0.23518349963008434,-0.02258331593123186,-1.618213660245184
13,000023.SZ,深天地A,72.0655,3.3932,-0.3349844715324546,-0.015948221411102605,-0.2415254237288136
14,000025.SZ,特力A,103.2503,1.701,1.4235256354541517,-0.10143492228871483,1.2444444444444436
15,000026.SZ,飞亚达,19.59,2.4743,-0.6499086077200139,-0.2380172449131706,-1.4270742358078603
16,000027.SZ,深圳能源,33.6939,1.4533,0.0628359032985358,0.026118837155251234,-1.697220135236664
17,000028.SZ,国药一致,16.6195,2.5504,-0.6589455566973222,-0.36779154020159593,-1.4620462046204619
18,000030.SZ,富奥股份,10.6689,3.1783,0.3577371146270531,-0.18531119360697396,-1.2646436132674665
19,000031.SZ,大悦城,18.4312,9.7369,0.4858623302605267,-0.25400104698469095,-2.4285714285714284
20,000032.SZ,深桑达A,34.6353,1.9911,-0.6965129017697237,-0.1834884224635741,-1.4427430093209055
21,000034.SZ,神州数码,19.2235,3.4982,-0.7351796484004056,0.3157047533529166,-1.647952853598015
22,000035.SZ,中国天楹,57.6756,1.4315,-0.41443603542510443,-0.140619090624014,-1.859375
23,000036.SZ,华联控股,6.3741,5.4927,0.9872619740123213,-0.5756821416649395,-2.066726377071204
24,000037.SZ,深南电A,316.1928,-1.4449,-3.763270604125381,-0.08538416583870008,-0.1379310344827585
25,000038.SZ,深大通,19.1333,0.1814,0.8476291443119132,0.28404796174177255,-1.0016177202588352
26,000039.SZ,中集集团,12.5394,1.0623,0.42603998494202894,5.578504839883527,-2.2406250000000014
27,000040.SZ,东旭蓝天,21.9165,0.1285,0.07180626933711912,-0.25867732777349045,-1.006194865695312
28,000042.SZ,中洲控股,16.3867,3.1404,-0.5136341889653998,-0.31171442193661253,-1.1790370598501179
29,000045.SZ,深纺织A,,0.4232,14.71229916198509,-0.28052402732968773,-1.2136842105263157
30,000046.SZ,泛海控股,38.2944,9.7487,-0.4547134238733182,-0.4896926815850791,-1.557531962201223
31,000048.SZ,京基智农,19.3064,10.3524,3.4150371837164792,1.544358197493106,-0.71330437417921
32,000049.SZ,德赛电池,21.2595,3.8064,1.113652442593654,0.3802689968252307,-1.8220675944333995
33,000050.SZ,深天马A,30.5821,1.1073,-0.7057775889829773,1.0654837343555221,-1.1733104378756285
34,000055.SZ,方大集团,2.9308,1.3779,-0.9688364183227922,-0.43905389450019494,-0.9557391560932428
35,000056.SZ,皇庭国际,68.5872,0.878,-0.4954861180534577,0.01361550071038815,-1.2105263157894737
36,000058.SZ,深赛格,32.1924,3.1731,0.526147921617099,-0.4247741074688653,-1.2220191868433075
37,000059.SZ,华锦股份,10.6542,2.5835,-0.6765882317743579,-0.34473037525711175,-1.3203623941779297
38,000060.SZ,中金岭南,19.2077,2.5027,-0.7090731546931676,-0.20603961405167784,-1.2692307692307692
39,000061.SZ,农产品,222.6003,1.028,-0.3530778381550144,-0.3000049222631337,3.9999999999999982
40,000062.SZ,深圳华强,22.1791,2.4931,-0.8219690136452851,0.4220156618988698,-1.3592617007251153
41,000065.SZ,北方国际,14.1839,0.9069,0.34039200232330685,0.026676849355783964,-1.131578947368421
42,000066.SZ,中国长城,42.7001,0.8274,-0.13810015065954798,-0.012210361834238835,-0.8604651162790697
43,000068.SZ,华控赛格,,-5.6254,1.8366499252538317,-0.020077314770217913,-0.2791878172588833
44,000069.SZ,华侨城A,6.0743,1.9895,-0.8893831609519509,-0.15197694653297836,-0.49288441513363396
45,000070.SZ,特发信息,32.4585,1.5641,0.6670004255866969,0.025888577428678075,-1.9881355932203388
46,000078.SZ,海王生物,26.7137,2.131,-0.6719787210256601,0.1547834571764657,-1.2611464968152866
47,000088.SZ,盐田港,25.3289,0.8083,-0.9027403628194925,-0.11967994714687163,-1.7194244604316549
48,000089.SZ,深圳机场,27.5377,1.4753,-0.7424325707488566,-0.349694036147575,-1.3970796043334903
49,000090.SZ,天健集团,12.9284,0.7272,-0.918028410363115,0.0661125179784194,-0.811063829787234
50,000096.SZ,广聚能源,58.6173,0.4159,-0.9001284462997534,0.026240379693027727,-1.1215127092374457
51,000099.SZ,中信海直,29.5263,0.7005,-0.8639539872015845,-0.16341705922979946,2.534653465346532
52,000100.SZ,TCL科技,13.6738,2.5303,-0.7525145072884519,-0.10706018586155819,-1.5844287158746206
