ts_code,symbol,name
000701.SZ,000701,厦门信达
000702.SZ,000702,正虹科技
000703.SZ,000703,恒逸石化
000705.SZ,000705,浙江震元
000708.SZ,000708,中信特钢
000709.SZ,000709,河钢股份
000710.SZ,000710,贝瑞基因
000711.SZ,000711,京蓝科技
000713.SZ,000713,丰乐种业
000715.SZ,000715,中兴商业
000716.SZ,000716,黑芝麻
000717.SZ,000717,韶钢松山
000718.SZ,000718,苏宁环球
000719.SZ,000719,中原传媒
000720.SZ,000720,新能泰山
000722.SZ,000722,湖南发展
000723.SZ,000723,美锦能源
000725.SZ,000725,京东方A
000726.SZ,000726,鲁泰A
000728.SZ,000728,国元证券
000729.SZ,000729,燕京啤酒
000731.SZ,000731,四川美丰
000732.SZ,000732,泰禾集团
000733.SZ,000733,振华科技
000735.SZ,000735,罗牛山
000736.SZ,000736,中交地产
000738.SZ,000738,航发控制
000739.SZ,000739,普洛药业
000751.SZ,000751,锌业股份
000753.SZ,000753,漳州发展
000755.SZ,000755,山西路桥
000756.SZ,000756,新华制药
000757.SZ,000757,浩物股份
000758.SZ,000758,中色股份
000759.SZ,000759,中百集团
000761.SZ,000761,本钢板材
000766.SZ,000766,通化金马
000768.SZ,000768,中航飞机
000776.SZ,000776,广发证券
000777.SZ,000777,中核科技
000778.SZ,000778,新兴铸管
000782.SZ,000782,美达股份
000783.SZ,000783,长江证券
000785.SZ,000785,居然之家
000786.SZ,000786,北新建材
000788.SZ,000788,北大医药
000789.SZ,000789,万年青
000790.SZ,000790,华神科技
000791.SZ,000791,甘肃电投
000793.SZ,000793,华闻集团
000795.SZ,000795,英洛华
000796.SZ,000796,凯撒旅业
000797.SZ,000797,中国武夷
000798.SZ,000798,中水渔业
000799.SZ,000799,酒鬼酒
000800.SZ,000800,一汽解放
000801.SZ,000801,四川九洲
000802.SZ,000802,北京文化
000807.SZ,000807,云铝股份
000809.SZ,000809,铁岭新城
000810.SZ,000810,创维数字
000811.SZ,000811,冰轮环境
000812.SZ,000812,陕西金叶
000813.SZ,000813,德展健康
000815.SZ,000815,美利云
000818.SZ,000818,航锦科技
000819.SZ,000819,岳阳兴长
000821.SZ,000821,京山轻机
000822.SZ,000822,山东海化
000823.SZ,000823,超声电子
000825.SZ,000825,太钢不锈
000826.SZ,000826,启迪环境
000828.SZ,000828,东莞控股
000829.SZ,000829,天音控股
000830.SZ,000830,鲁西化工
000831.SZ,000831,五矿稀土
000833.SZ,000833,粤桂股份
000836.SZ,000836,富通鑫茂
000838.SZ,000838,财信发展
000848.SZ,000848,承德露露
000850.SZ,000850,华茂股份
000851.SZ,000851,高鸿股份
000852.SZ,000852,石化机械
000856.SZ,000856,冀东装备
000858.SZ,000858,五粮液
000859.SZ,000859,国风塑业
000860.SZ,000860,顺鑫农业
000861.SZ,000861,海印股份
000863.SZ,000863,三湘印象
000869.SZ,000869,张裕A
000876.SZ,000876,新希望
000877.SZ,000877,天山股份
000878.SZ,000878,云南铜业
000880.SZ,000880,潍柴重机
000881.SZ,000881,中广核技
000882.SZ,000882,华联股份
000883.SZ,000883,湖北能源
000885.SZ,000885,城发环境
000886.SZ,000886,海南高速
000887.SZ,000887,中鼎股份
000888.SZ,000888,峨眉山A
000889.SZ,000889,中嘉博创
000892.SZ,000892,欢瑞世纪
000895.SZ,000895,双汇发展
000898.SZ,000898,鞍钢股份
000899.SZ,000899,赣能股份
000900.SZ,000900,现代投资
000901.SZ,000901,航天科技
000902.SZ,000902,新洋丰
000903.SZ,000903,云内动力
000905.SZ,000905,厦门港务
000906.SZ,000906,浙商中拓
000908.SZ,000908,景峰医药
000909.SZ,000909,数源科技
000910.SZ,000910,大亚圣象
000913.SZ,000913,钱江摩托
000915.SZ,000915,山大华特
000918.SZ,000918,嘉凯城
000919.SZ,000919,金陵药业
000920.SZ,000920,南方汇通
000921.SZ,000921,海信家电
000922.SZ,000922,佳电股份
000923.SZ,000923,河钢资源
000925.SZ,000925,众合科技
000926.SZ,000926,福星股份
000928.SZ,000928,中钢国际
000930.SZ,000930,中粮科技
000931.SZ,000931,中关村
000932.SZ,000932,华菱钢铁
000935.SZ,000935,四川双马
000936.SZ,000936,华西股份
000937.SZ,000937,冀中能源
000938.SZ,000938,紫光股份
000948.SZ,000948,南天信息
000949.SZ,000949,新乡化纤
000950.SZ,000950,重药控股
000951.SZ,000951,中国重汽
000952.SZ,000952,广济药业
000955.SZ,000955,欣龙控股
000957.SZ,000957,中通客车
000958.SZ,000958,东方能源
000959.SZ,000959,首钢股份
000960.SZ,000960,锡业股份
000961.SZ,000961,中南建设
000963.SZ,000963,华东医药
000965.SZ,000965,天保基建
000967.SZ,000967,盈峰环境
000968.SZ,000968,蓝焰控股
000970.SZ,000970,中科三环
000973.SZ,000973,佛塑科技
000975.SZ,000975,银泰黄金
000976.SZ,000976,华铁股份
000977.SZ,000977,浪潮信息
000978.SZ,000978,桂林旅游
000983.SZ,000983,西山煤电
000985.SZ,000985,大庆华科
000987.SZ,000987,越秀金控
000988.SZ,000988,华工科技
000989.SZ,000989,九芝堂
000990.SZ,000990,诚志股份
000996.SZ,000996,中国中期
000997.SZ,000997,新大陆
