ts_code, rate
300272.SZ,0.03321470937129314
000403.SZ,0.00953053300388292
000526.SZ,0.18752725686873095
000516.SZ,0.06260869565217397
000520.SZ,0.16176470588235303
000759.SZ,0.14715189873417717
000735.SZ,-0.06636500754147806
300444.SZ,0.14394904458598737
300176.SZ,0.3053207359522626
002709.SZ,-0.09130688448074686
000856.SZ,0.21730769230769223
000688.SZ,-0.02331189710610926
603369.SH,0.3117001828153565
000860.SZ,0.40120175641321926
300251.SZ,-0.02921348314606739
300094.SZ,-0.03283582089552235
600783.SH,0.024269662921348276
002107.SZ,0.10110974106041928
