ts_code, rate
601377.SH,-0.0845697329376855
600436.SH,-0.07857762359063315
002315.SZ,0.032828282828282804
600779.SH,-0.049811470529866994
300417.SZ,0.022988505747126457
000046.SZ,-0.10281690140845065
002821.SZ,-0.0660015349194167
300450.SZ,-0.11452776906181368
002726.SZ,-0.025394045534150537
600958.SH,-0.07699194270367049
002463.SZ,-0.20105355575065853
002565.SZ,-0.030443414956982072
603866.SH,0.03573333333333342
600648.SH,-0.0447695035460992
300119.SZ,-0.3214822233350024
603699.SH,-0.10440340909090913
600061.SH,-0.11591072714182873
600305.SH,0.08073115003808062
300253.SZ,-0.11389684813753592
000531.SZ,-0.05989583333333333
002690.SZ,0.059899569583931195
000920.SZ,-0.10928319623971795
000668.SZ,-0.004313000616142962
002410.SZ,0.02142857142857148
000936.SZ,0.03283898305084751
600621.SH,-0.13018181818181812
000790.SZ,-0.23103448275862068
002352.SZ,-0.09101905049894168
300519.SZ,-0.07040417209908736
002424.SZ,-0.021352313167259804
