ts_code, rate
600107.SH,0.13505311077389995
002451.SZ,0.1705170517051706
600592.SH,-0.013364323067983755
600310.SH,-0.029478458049886597
300353.SZ,-0.07103448275862065
002712.SZ,0.02844311377245515
000520.SZ,-0.03738317757009349
603026.SH,0.2000669120107058
300113.SZ,0.060989643268124415
300136.SZ,0.10046082949308766
603336.SH,-0.08875739644970404
603027.SH,-0.02027027027027024
603589.SH,-0.14115518021414566
600052.SH,0.4245014245014246
000856.SZ,-0.01960784313725498
600073.SH,-0.08905579399141632
000048.SZ,0.0202380952380953
002346.SZ,-0.02127659574468085
