ts_code, rate
300272.SZ,-0.2352297592997812
000403.SZ,0.014089347079037804
000526.SZ,-0.19409434641699677
000516.SZ,-0.08012820512820512
000520.SZ,-0.16089108910891087
600857.SH,-0.13581395348837216
000735.SZ,-0.15939730372720062
603369.SH,-0.09494109494109489
300444.SZ,-0.016129032258064554
300003.SZ,-0.05161979352082589
002769.SZ,-0.16989567809239936
002107.SZ,-0.1453551912568306
600990.SH,-0.14438502673796794
300251.SZ,-0.12203389830508476
600783.SH,-0.1711026615969582
300067.SZ,-0.07250341997264013
600536.SH,-0.18918918918918914
