ts_code, rate
000526.SZ,-0.02388707926167216
000695.SZ,0.10000000000000003
000516.SZ,-0.01214574898785435
000520.SZ,0.0680272108843538
000759.SZ,0.09732824427480911
000735.SZ,0.053710937499999896
002272.SZ,0.04347826086956537
000150.SZ,-0.060053981106612725
300251.SZ,0.01158301158301168
600783.SH,-0.06351183063511828
002326.SZ,0.04017216642754667
000688.SZ,0.027826086956521764
300560.SZ,-0.16722891566265055
002769.SZ,-0.045135406218656075
000856.SZ,-0.1189821182943603
300300.SZ,-0.0795660036166366
002709.SZ,0.20966228893058156
300462.SZ,-0.11046133853151403
002749.SZ,0.01686046511627902
