ts_code, rate
300272.SZ,0.21294964028776972
000403.SZ,0.11447678992918947
000516.SZ,0.1782786885245902
000526.SZ,0.27530589543937706
000520.SZ,0.08280254777070056
000759.SZ,0.09913043478260875
000735.SZ,0.22891566265060248
300176.SZ,0.07396528704939909
000688.SZ,0.05245346869712345
300444.SZ,0.20769230769230765
000856.SZ,0.2177985948477751
300251.SZ,0.13231552162849872
000860.SZ,0.0965534718702484
002709.SZ,0.32919736331911603
603369.SH,0.2946745562130178
002749.SZ,0.1989708404802745
600783.SH,0.4793882978723405
